,DEPTH,VP,RHOB,AI
324,624.6876,,,
325,624.84,,,
326,624.9924,,,
327,625.1448,,,
328,625.2972,,,
329,625.4496,,,
330,625.602,,,
331,625.7544,,,
332,625.9068,,,
333,626.0592,,,
334,626.2116,,,
335,626.364,,,
336,626.5164,,,
337,626.6688,,,
338,626.8212,,,
339,626.9736,,,
340,627.126,,,
341,627.2784,,,
342,627.4308,,,
343,627.5832,,,
344,627.7356,,,
345,627.888,,,
346,628.0404,,,
347,628.1928,,,
348,628.3452,,,
349,628.4976,,,
350,628.65,,,
351,628.8024,,,
352,628.9548,,,
353,629.1072,,,
354,629.2596,,,
355,629.412,,,
356,629.5644,,,
357,629.7168,,,
358,629.8692,,,
359,630.0216,,,
360,630.174,,,
361,630.3264,,,
362,630.4788,,,
363,630.6312,,,
364,630.7836,,,
365,630.936,,,
366,631.0884,,,
367,631.2408,,,
368,631.3932,,,
369,631.5456,,,
370,631.698,,,
371,631.8504,,,
372,632.0028,,,
373,632.1552,,,
374,632.3076,,,
375,632.46,,,
376,632.6124,,,
377,632.7648,,,
378,632.9172,,,
379,633.0696,,,
380,633.222,,,
381,633.3744,,,
382,633.5268,,,
383,633.6792,,,
384,633.8316,,,
385,633.984,,,
386,634.1364,,,
387,634.2888,,,
388,634.4412,,,
389,634.5936,,,
390,634.746,,,
391,634.8984,,,
392,635.0508,,,
393,635.2032,,,
394,635.3556,,,
395,635.508,,,
396,635.6604,,,
397,635.8128,,,
398,635.9652,,,
399,636.1176,,,
400,636.27,,,
401,636.4224,,,
402,636.5748,,,
403,636.7272,,,
404,636.8796,,,
405,637.032,,,
406,637.1844,,,
407,637.3368,,,
408,637.4892,,,
409,637.6416,,,
410,637.794,,,
411,637.9464,,,
412,638.0988,,,
413,638.2512,,,
414,638.4036,,,
415,638.556,,,
416,638.7084,,,
417,638.8608,,,
418,639.0132,,,
419,639.1656,,,
420,639.318,,,
421,639.4704,,,
422,639.6228,,,
423,639.7752,,,
424,639.9276,,,
425,640.08,,,
426,640.2324,,,
427,640.3848,,,
428,640.5372,,,
429,640.6896,,,
430,640.842,,,
431,640.9944,,,
432,641.1468,,,
433,641.2992,,,
434,641.4516,,,
435,641.604,,,
436,641.7564,,,
437,641.9088,,,
438,642.0612,,,
439,642.2136,,,
440,642.366,,,
441,642.5184,,,
442,642.6708,,,
443,642.8232,,,
444,642.9756,,,
445,643.128,,,
446,643.2804,,,
447,643.4328,,,
448,643.5852,,,
449,643.7376,,,
450,643.89,,,
451,644.0424,,,
452,644.1948,,,
453,644.3472,,,
454,644.4996,,,
455,644.652,,,
456,644.8044,,,
457,644.9568,,,
458,645.1092,,,
459,645.2616,,,
460,645.414,,,
461,645.5664,,,
462,645.7188,,,
463,645.8712,,,
464,646.0236,,,
465,646.176,,,
466,646.3284,,,
467,646.4808,,,
468,646.6332,,,
469,646.7856,,,
470,646.938,,,
471,647.0904,,,
472,647.2428,,,
473,647.3952,,,
474,647.5476,,,
475,647.7,,,
476,647.8524,,,
477,648.0048,,,
478,648.1572,,,
479,648.3096,,,
480,648.462,,,
481,648.6144,,,
482,648.7668,,,
483,648.9192,,,
484,649.0716,,,
485,649.224,,,
486,649.3764,,,
487,649.5288,,,
488,649.6812,,,
489,649.8336,,,
490,649.986,,,
491,650.1384,,,
492,650.2908,,,
493,650.4432,,,
494,650.5956,,,
495,650.748,,,
496,650.9004,,,
497,651.0528,,,
498,651.2052,,,
499,651.3576,,,
500,651.51,,,
501,651.6624,,,
502,651.8148,,,
503,651.9672,,,
504,652.1196,,,
505,652.272,,,
506,652.4244,,,
507,652.5768,,,
508,652.7292,,,
509,652.8816,,,
510,653.034,,,
511,653.1864,,,
512,653.3388,,,
513,653.4912,,,
514,653.6436,,,
515,653.796,,,
516,653.9484,,,
517,654.1008,,,
518,654.2532,,,
519,654.4056,,,
520,654.558,,,
521,654.7104,,,
522,654.8628,,,
523,655.0152,,,
524,655.1676,,,
525,655.32,,,
526,655.4724,,,
527,655.6248,,,
528,655.7772,,,
529,655.9296,,,
530,656.082,,,
531,656.2344,,,
532,656.3868,,,
533,656.5392,,,
534,656.6916,,,
535,656.844,,,
536,656.9964,,,
537,657.1488,,,
538,657.3012,,,
539,657.4536,,,
540,657.606,,,
541,657.7584,,,
542,657.9108,,,
543,658.0632,,,
544,658.2156,,,
545,658.368,,,
546,658.5204,,,
547,658.6728,,,
548,658.8252,,,
549,658.9776,,,
550,659.13,,,
551,659.2824,,,
552,659.4348,,,
553,659.5872,,,
554,659.7396,,,
555,659.892,,,
556,660.0444,,,
557,660.1968,,,
558,660.3492,,,
559,660.5016,,,
560,660.654,,2.065,
561,660.8064,,2.027,
562,660.9588,,2.03168,
563,661.1112,,2.0338600000000002,
564,661.2636,,2.0364,
565,661.416,,2.0391,
566,661.5684,,2.04178,
567,661.7208,,2.0443200000000004,
568,661.8732,,2.04676,
569,662.0256,,2.04902,
570,662.178,,2.0512399999999995,
571,662.3304,,2.05346,
572,662.4828,2247.0657,2.0556799999999997,4619.247964374999
573,662.6352,2261.6438,2.0578,4654.010609228515
574,662.7876,2232.6663,2.05982,4598.89061519043
575,662.94,2229.4263,2.0618,4596.6310825195305
576,663.0924,2224.0337,2.0637,4589.738328955078
577,663.2448,2219.472,2.06562,4584.585595297852
578,663.3972,2213.1367,2.06766,4576.014267890625
579,663.5496,2210.4543,2.0691800000000002,4573.827923041993
580,663.702,2159.5369,2.024,4370.902615234375
581,663.8544,2211.6658,2.038,4507.374842285156
582,664.0068,2222.8315,2.046,4547.913336914062
583,664.1592,2194.8901,2.061,4523.6685717773435
584,664.3116,2182.2031,2.068,4512.7960625000005
585,664.464,2169.188,2.069,4488.049947753906
586,664.6164,2169.7124,2.07,4491.304672851562
587,664.7688,,2.073,
588,664.9212,,2.074,
589,665.0736,,2.074,
590,665.226,,2.074,
591,665.3784,,2.067,
592,665.5308,,2.066,
593,665.6832,,2.065,
594,665.8356,,2.065,
595,665.988,,2.062,
596,666.1404,,2.06,
597,666.2928,,2.058,
598,666.4452,,2.058,
599,666.5976,,2.06,
600,666.75,,2.061,
601,666.9024,,2.064,
602,667.0548,,2.068,
603,667.2072,,2.07,
604,667.3596,,2.074,
605,667.512,2185.857,2.075,4535.653137207031
606,667.6644,2223.096,2.078,4619.593378417969
607,667.8168,2238.1838,2.078,4650.946015136718
608,667.9692,2233.4907,2.075,4634.493249511719
609,668.1216,2211.0493,2.074,4585.716282226562
610,668.274,2166.7673,2.072,4489.541916015625
611,668.4264,2212.1655,2.072,4583.60697265625
612,668.5788,2231.0015,2.083,4647.176051269532
613,668.7312,2241.9292,2.088,4681.14816796875
614,668.8836,2258.3274,2.097,4735.712542236328
615,669.036,2288.061,2.096,4795.7759296875
616,669.1884,2280.1304,2.09,4765.472475585937
617,669.3408,2272.5266,2.085,4738.21798461914
618,669.4932,2230.4226,2.079,4637.048600830079
619,669.6456,2200.4497,2.079,4574.734940917969
620,669.798,2168.826,2.079,4508.989103759766
621,669.9504,2166.2334,2.079,4503.599235351563
622,670.1028,2161.4038,2.076,4487.074306640625
623,670.2552,2153.7178,2.072,4462.5032265625005
624,670.4076,2149.1482,2.07,4448.736760253906
625,670.56,2141.4905,2.066,4424.319328613281
626,670.7124,,2.068,
627,670.8648,,2.074,
628,671.0172,,2.074,
629,671.1696,,2.081,
630,671.322,,2.087,
631,671.4744,,2.1,
632,671.6268,,2.0528999999999997,
633,671.7792,,2.0497999999999994,
634,671.9316,,2.04664,
635,672.084,,2.09,
636,672.2364,,2.088,
637,672.3888,,2.08,
638,672.5412,,2.078,
639,672.6936,,2.067,
640,672.846,2226.8809,2.065,4598.5089746093745
641,672.9984,2226.6982,2.064,4595.905171875
642,673.1508,2258.871,2.072,4680.38090625
643,673.3032,2251.4417,2.074,4669.489982910156
644,673.4556,2219.129,2.079,4613.568996093751
645,673.608,2217.6494,2.08,4612.71078125
646,673.7604,2231.8047,2.078,4637.690140625
647,673.9128,2237.5955,2.076,4645.248172851562
648,674.0652,2219.439,2.06,4572.044267578125
649,674.2176,2160.7703,2.056,4442.543662109375
650,674.37,2196.1726,2.054,4510.938535644531
651,674.5224,2176.6646,2.055,4473.045651855469
652,674.6748,2200.4282,2.058,4528.481282226562
653,674.8272,2253.772,2.061,4645.024035644531
654,674.9796,2243.2742,2.09,4688.443015136719
655,675.132,2179.551,2.04632,4460.058854277344
656,675.2844,2170.7886,2.04522,4439.740207763672
657,675.4368,2161.0198,2.0427400000000002,4414.401535981446
658,675.5892,2155.4922,2.03878,4394.5743620312505
659,675.7416,2155.7275,2.03412,4385.008501757813
660,675.894,2159.391,2.0296600000000002,4382.829766982422
661,676.0464,2156.1482,2.02542,4367.105673793945
662,676.1988,2144.4277,2.02144,4334.831999375
663,676.3512,2164.336,2.01786,4367.32691484375
664,676.5036,2209.72,2.055,4540.974539794922
665,676.656,2170.6519,2.034,4415.1058740234375
666,676.8084,2165.932,2.033,4403.339521728515
667,676.9608,2191.4075,2.036,4461.705610351562
668,677.1132,2188.3162,2.037,4457.600022216797
669,677.2656,2161.3042,2.025,4376.641003417969
670,677.418,2152.4236,2.017,4341.4383688964845
671,677.5704,2136.5652,2.004,4281.676631835938
672,677.7228,2156.5564,1.997,4306.643123779297
673,677.8752,2098.8716,1.986,4168.358961914062
674,678.0276,2095.0747,1.982,4152.438069335937
675,678.18,2081.755,1.974,4109.384138671875
676,678.3324,2076.1274,1.973,4096.199441894531
677,678.4848,2060.2195,1.967,4052.4517219238282
678,678.6372,2055.568,1.964,4037.1357783203125
679,678.7896,2031.6411,1.958,3977.9532998046875
680,678.942,2030.1144,1.955,3968.8736126708986
681,679.0944,2066.2717,1.952,4033.3624140624997
682,679.2468,2104.3486,1.951,4105.584182617187
683,679.3992,2120.9111,1.951,4137.897620117187
684,679.5516,2067.211,1.955,4041.3973828125
685,679.704,2065.7385,1.957,4042.6502941894532
686,679.8564,2080.4456,1.973,4104.719083251954
687,680.0088,2094.6863,1.987,4162.1416369628905
688,680.1612,2099.0125,2.008,4214.817001953125
689,680.3136,2182.892,2.029,4429.088050292969
690,680.466,2157.0518,2.0107,4337.183969433594
691,680.6184,2185.936,2.01204,4398.190740175781
692,680.7708,2172.0042,2.01334,4372.982836147461
693,680.9232,2180.5398,2.0139,4391.389092993164
694,681.0756,2198.1792,2.0142800000000003,4427.748397402344
695,681.228,2214.1091,2.01438,4460.057151020508
696,681.3804,2231.587,2.01444,4495.397943164063
697,681.5328,2236.2825,2.01428,4504.49905508789
698,681.6852,2199.4297,2.01354,4428.63965296875
699,681.8376,2195.729,2.01248,4418.8607057812505
700,681.99,2194.6086,2.0107200000000005,4412.743489804689
701,682.1424,2183.4307,2.00884,4386.162855195313
702,682.2948,2163.0986,2.0067399999999997,4340.776550410155
703,682.4472,2157.8604,2.0048800000000004,4326.251061640626
704,682.5996,2183.9404,2.0031000000000003,4374.6510747070315
705,682.752,2250.136,2.043,4597.02782006836
706,682.9044,2184.8284,1.985,4336.8843127441405
707,683.0568,2204.4697,2.00304,4415.64104109375
708,683.2092,2207.9473,2.00726,4431.924228398438
709,683.3616,2201.2913,2.01218,4429.394247075195
710,683.514,2198.1812,2.01706,4433.863275146484
711,683.6664,2192.3325,2.0218,4432.457887988281
712,683.8188,2188.8457,2.02632,4435.30182515625
713,683.9712,2235.3948,2.03076,4539.550294072265
714,684.1236,2233.923,2.03506,4546.167535141602
715,684.276,2193.9194,2.03924,4473.928265761719
716,684.4284,2207.562,2.0425999999999997,4509.1661651367185
717,684.5808,2179.2239,2.0456,4457.820362695312
718,684.7332,2177.4543,2.0483599999999997,4460.210383564453
719,684.8856,2236.6343,2.05098,4587.292170146485
