,Time,Trace
0,0.0,-0.0173227
1,0.002002002002002002,-0.0146676
2,0.004004004004004004,-0.0111942
3,0.006006006006006006,-0.0016436
4,0.008008008008008008,0.0055084
5,0.01001001001001001,0.010723
6,0.012012012012012012,0.0057943
7,0.014014014014014014,0.0076479
8,0.016016016016016016,0.00474
9,0.018018018018018018,0.01128
10,0.02002002002002002,0.0150928
11,0.022022022022022022,0.0232454
12,0.024024024024024024,0.0311145
13,0.026026026026026026,0.0274729
14,0.028028028028028028,0.0147245
15,0.03003003003003003,0.0011317
16,0.03203203203203203,-0.0101119
17,0.03403403403403403,-0.0184219
18,0.036036036036036036,-0.0269623
19,0.03803803803803804,-0.0442669
20,0.04004004004004004,-0.0610528
21,0.04204204204204204,-0.0716252
22,0.044044044044044044,-0.0717949
23,0.04604604604604605,-0.0711968
24,0.04804804804804805,-0.0729173
25,0.050050050050050046,-0.0799131
26,0.05205205205205205,-0.0855865
27,0.05405405405405406,-0.0874912
28,0.056056056056056056,-0.0959011
29,0.058058058058058054,-0.1056128
30,0.06006006006006006,-0.125418
31,0.062062062062062065,-0.14831
32,0.06406406406406406,-0.16301
33,0.06606606606606606,-0.1647968
34,0.06806806806806806,-0.1542836
35,0.07007007007007007,-0.1417687
36,0.07207207207207207,-0.127916
37,0.07407407407407407,-0.1211115
38,0.07607607607607608,-0.1135578
39,0.07807807807807808,-0.1101685
40,0.08008008008008008,-0.1020525
41,0.08208208208208208,-0.087521
42,0.08408408408408408,-0.0740326
43,0.08608608608608609,-0.0582465
44,0.08808808808808809,-0.04424
45,0.09009009009009009,-0.023451
46,0.0920920920920921,-0.0012066
47,0.0940940940940941,0.03889
48,0.0960960960960961,0.1080688
49,0.0980980980980981,0.2142563
50,0.10010010010010009,0.3436614
51,0.1021021021021021,0.4347628
52,0.1041041041041041,0.4939224
53,0.1061061061061061,0.511176
54,0.10810810810810811,0.4957713
55,0.11011011011011011,0.4653928
56,0.11211211211211211,0.4188163
57,0.11411411411411411,0.3635675
58,0.11611611611611611,0.292309
59,0.11811811811811812,0.20838
60,0.12012012012012012,0.12
61,0.12212212212212212,0.0501686
62,0.12412412412412413,0.0085336
63,0.12612612612612611,-0.0081686
64,0.12812812812812813,-0.0132158
65,0.13013013013013014,-0.0125763
66,0.13213213213213212,-0.0072532
67,0.13413413413413414,0.0093743
68,0.13613613613613612,0.0261777
69,0.13813813813813813,0.021012
70,0.14014014014014015,-0.0177316
71,0.14214214214214213,-0.0791878
72,0.14414414414414414,-0.13481
73,0.14614614614614616,-0.164761
74,0.14814814814814814,-0.1594749
75,0.15015015015015015,-0.1315647
76,0.15215215215215216,-0.0898136
77,0.15415415415415415,-0.0501083
78,0.15615615615615616,-0.023168
79,0.15815815815815815,-0.0045332
80,0.16016016016016016,0.0077884
81,0.16216216216216217,0.0042227
82,0.16416416416416416,-0.0200128
83,0.16616616616616617,-0.074284
84,0.16816816816816815,-0.1651859
85,0.17017017017017017,-0.2867544
86,0.17217217217217218,-0.4201224
87,0.17417417417417416,-0.5450775
88,0.17617617617617617,-0.6502445
89,0.1781781781781782,-0.7162259
90,0.18018018018018017,-0.7388188
91,0.18218218218218218,-0.7049434
92,0.1841841841841842,-0.60775
93,0.18618618618618618,-0.4613261
94,0.1881881881881882,-0.296589
95,0.19019019019019018,-0.139869
96,0.1921921921921922,-0.0064632
97,0.1941941941941942,0.1166855
98,0.1961961961961962,0.2319331
99,0.1981981981981982,0.3093183
100,0.20020020020020018,0.3372462
101,0.2022022022022022,0.353439
102,0.2042042042042042,0.4365531
103,0.2062062062062062,0.5913527
104,0.2082082082082082,0.7205619
105,0.21021021021021022,0.725991
106,0.2122122122122122,0.5742646
107,0.21421421421421422,0.3364624
108,0.21621621621621623,0.1029345
109,0.2182182182182182,-0.1092734
110,0.22022022022022023,-0.329466
111,0.2222222222222222,-0.526841
112,0.22422422422422422,-0.627861
113,0.22622622622622623,-0.6161621
114,0.22822822822822822,-0.55873
115,0.23023023023023023,-0.5015873
116,0.23223223223223222,-0.4301071
117,0.23423423423423423,-0.2747265
118,0.23623623623623624,-0.0250467
119,0.23823823823823823,0.1749874
120,0.24024024024024024,0.190097
121,0.24224224224224225,0.01277
122,0.24424424424424424,-0.197429
123,0.24624624624624625,-0.2457446
124,0.24824824824824826,-0.0979545
125,0.2502502502502503,0.08154
126,0.25225225225225223,0.1457559
127,0.25425425425425424,0.0777511
128,0.25625625625625625,-0.006541
129,0.25825825825825827,0.0610286
130,0.2602602602602603,0.231821
131,0.26226226226226224,0.3616222
132,0.26426426426426425,0.3979129
133,0.26626626626626626,0.3012385
134,0.2682682682682683,0.1407844
135,0.2702702702702703,-0.0082474
136,0.27227227227227224,-0.1608236
137,0.27427427427427425,-0.2962831
138,0.27627627627627627,-0.403102
139,0.2782782782782783,-0.4654465
140,0.2802802802802803,-0.3985733
141,0.2822822822822823,-0.2137819
142,0.28428428428428426,0.00549
143,0.2862862862862863,0.1547787
144,0.2882882882882883,0.1880633
145,0.2902902902902903,0.1676322
146,0.2922922922922923,0.1108125
147,0.29429429429429427,0.0513147
148,0.2962962962962963,-0.007532
149,0.2982982982982983,-0.0284285
150,0.3003003003003003,0.0920424
151,0.3023023023023023,0.2974637
152,0.30430430430430433,0.4886346
153,0.3063063063063063,0.553749
154,0.3083083083083083,0.4408617
155,0.3103103103103103,0.2434338
156,0.3123123123123123,0.011551
157,0.31431431431431434,-0.1509184
158,0.3163163163163163,-0.2393843
159,0.3183183183183183,-0.2727954
160,0.3203203203203203,-0.2604668
