,DEPTH,CALI,DT-CKS,DT,GR,NPHI,PHIF,RFT,RHOB,RT,SAND,SP,SW,VSH,VP,AI
4382,667.8168,18.813,131.1156,139.75,88.125,,,,2.1875,,,-67.188,,,2324.6661724462992,5085.20725222628
4383,667.9692,18.844,130.9129,139.37,88.688,,,,2.1953,,,-67.813,,,2328.265587272148,5111.241443738547
4384,668.1216,18.984,131.0961,139.5,85.313,,,,2.2031,,,-67.438,,,2325.0119568774358,5122.233842196679
4385,668.274,19.094,131.442,140.0,85.938,,,,2.207,,,-66.563,,,2318.893504359337,5117.797964121056
4386,668.4264,19.125,131.46,140.12,86.813,,,,2.2051,,,-66.938,,,2318.5759926973983,5112.691921497033
4387,668.5788,19.109,131.1485,139.75,87.938,,,,2.1914,,,-66.438,,,2324.083005143025,5092.995497470424
4388,668.7312,19.109,130.5864,139.37,82.125,,,,2.1875,,,-66.313,,,2334.0868574369156,5105.8150006432525
4389,668.8836,19.109,129.9595,138.37,84.875,,,,2.1895,,,-65.688,,,2345.3460501156133,5135.135176728135
4390,669.036,19.078,130.1545,138.37,83.188,,,,2.1875,,,-65.188,,,2341.8322071077064,5122.757953048108
4391,669.1884,19.078,130.62,139.37,86.563,,,,2.1797,,,-66.313,,,2333.486449242076,5086.300413412953
4392,669.3408,19.109,130.6389,139.0,84.688,,,,2.1836,,,-66.938,,,2333.148855356253,5094.663840555915
4393,669.4932,19.234,130.5556,139.37,92.5,,,,2.1875,,,-67.188,,,2334.6375031021266,5107.019538035902
4394,669.6456,19.266,130.1643,138.5,92.125,,,,2.1973,,,-67.188,,,2341.655891822873,5145.320491102399
4395,669.798,19.25,129.9131,138.75,91.438,,,,2.1895,,,-66.563,,,2346.183718193162,5136.969250983928
4396,669.9504,19.25,128.7677,137.75,88.25,,,,2.1875,,,-67.063,,,2367.053228410541,5177.928937148059
4397,670.1028,19.281,127.0721,135.75,88.875,,,,2.1777,,,-67.563,,,2398.6382534010218,5223.514524431405
4398,670.2552,19.172,126.2576,134.37,90.313,,,,2.1797,,,-66.688,,,2414.1121009745157,5262.0401464941515
4399,670.4076,19.109,128.0264,135.12,89.25,,,,2.1777,,,-66.938,,,2380.7589684627546,5184.578805621341
4400,670.56,19.125,132.8124,140.12,94.688,,,,2.1797,,,-66.938,,,2294.9664338570797,5002.338335878277
4401,670.7124,19.063,137.7572,146.12,93.688,,,,2.1758,,,-67.688,,,2212.588525318459,4814.150113387903
4402,670.8648,18.891,138.992,149.0,94.0,,,,2.1699,,,-66.938,,,2192.931967307471,4758.443075860482
4403,671.0172,18.875,134.9235,145.0,86.375,,,,2.168,,,-67.063,,,2259.057910593781,4897.637550167317
4404,671.1696,18.828,129.4111,138.12,85.688,,,,2.1719,,,-66.938,,,2355.2848248720547,5115.443111139615
4405,671.322,19.063,126.4762,134.75,86.75,,,,2.1797,,,-66.438,,,2409.939577564791,5252.945297217974
4406,671.4744,19.078,125.9083,134.12,88.375,,,,2.1875,,,-66.938,,,2420.8094303552666,5295.520628902145
4407,671.6268,19.078,127.1659,134.75,90.688,,,,2.1992,,,-66.563,,,2396.8689719492413,5271.194243110771
4408,671.7792,19.094,129.0682,138.0,88.563,,,,2.1934,,,-66.938,,,2361.542192422301,5179.806644859075
4409,671.9316,19.094,129.1353,137.75,89.688,,,,2.1875,,,-67.188,,,2360.3151113599456,5163.189306099881
4410,672.084,19.063,129.7269,137.12,88.813,,,,2.1738,,,-67.063,,,2349.5512495866315,5107.45450635142
4411,672.2364,19.125,131.9306,140.5,92.313,,,,2.1738,,,-66.938,,,2310.3055697465184,5022.142247514981
4412,672.3888,19.188,133.0724,141.5,92.813,,,,2.1758,,,-65.688,,,2290.4824742020137,4983.631767368742
4413,672.5412,19.188,133.0535,142.0,91.438,,,,2.1875,,,-64.438,,,2290.807832939381,5011.142134554896
4414,672.6936,19.141,132.3025,140.5,94.125,,,,2.1895,,,-66.313,,,2303.811341433457,5044.1949320685535
4415,672.846,19.094,133.6296,140.75,88.438,,,,2.1836,,,-66.188,,,2280.931769607931,4980.642612115878
4416,672.9984,19.031,136.8806,145.37,88.125,,,,2.1523,,,-66.688,,,2226.758211170904,4792.651697903136
4417,673.1508,18.75,139.2444,147.12,79.438,,,,2.1172,,,-66.313,,,2188.9569706214397,4634.459698199712
4418,673.3032,18.828,143.6668,149.75,81.75,,,,2.0742,,,-66.938,,,2121.5757572382763,4400.572435663632
4419,673.4556,18.766,148.3282,159.0,79.813,,,,2.0781,,,-67.188,,,2054.9025741564988,4270.29303935462
4420,673.608,18.531,146.5225,155.12,83.438,,,,2.0801,,,-67.063,,,2080.2265863604566,4327.079322288386
4421,673.7604,18.375,144.7537,153.0,84.438,,,,2.0938,,,-67.438,,,2105.645658798359,4408.800880392004
4422,673.9128,18.047,144.1743,152.75,88.5,,,,2.0957,,,-67.438,,,2114.1077154527543,4430.535539274337
4423,674.0652,17.891,143.9609,152.12,85.938,,,,2.0977,,,-67.938,,,2117.2415565615383,4441.337613199139
4424,674.2176,17.891,146.0887,152.75,84.375,,,,2.0879,,,-67.563,,,2086.4036711942813,4356.202225086539
4425,674.37,17.922,149.3648,159.12,80.875,,,,2.1016,,,-67.313,,,2040.6414362687863,4288.612042462481
4426,674.5224,18.094,147.7935,157.12,82.813,,,,2.0879,,,-67.063,,,2062.33697693065,4305.9533741335035
4427,674.6748,18.172,144.7872,153.12,81.688,,,,2.0859,,,-66.938,,,2105.1584670468105,4391.150046412942
4428,674.8272,18.188,144.1624,151.75,83.625,,,,2.0762,,,-67.313,,,2114.2822261560573,4389.672757945206
4429,674.9796,18.234,145.9037,154.0,82.188,,,,2.1016,,,-67.438,,,2089.049146800253,4390.3456869154115
4430,675.132,18.25,146.4335,156.0,84.688,,,,2.1289,,,-67.063,,,2081.490915671619,4431.286010373309
4431,675.2844,18.313,144.4593,152.75,82.438,,,,2.1465,,,-67.25,,,2109.9368472642464,4528.979442652705
4432,675.4368,18.328,142.4339,151.75,86.125,,,,2.1484,,,-66.5,,,2139.9400002387074,4597.447096512839
4433,675.5892,18.484,139.7781,148.12,85.875,,,,2.1426,,,-66.5,,,2180.5991067270197,4672.151646073312
4434,675.7416,18.328,139.202,146.75,91.375,,,,2.1289,,,-66.0,,,2189.623712302984,4661.489921121823
4435,675.894,17.969,139.5656,149.12,91.375,,,,2.1172,,,-65.063,,,2183.9192465765204,4623.793828851809
4436,676.0464,18.0,137.8517,146.0,93.688,,,,2.123,,,-65.688,,,2211.0717531956443,4694.1053320343535
4437,676.1988,18.031,136.7587,145.5,86.5,,,,2.1387,,,-66.563,,,2228.743034263999,4766.612727380415
4438,676.3512,18.063,135.067,144.0,87.438,,,,2.1426,,,-67.188,,,2256.657806866222,4835.115016991567
4439,676.5036,18.0,133.419,141.37,86.813,,,,2.1309,,,-66.813,,,2284.5321880691654,4868.109639556585
4440,676.656,18.0,133.4126,141.75,88.938,,,,2.123,,,-66.688,,,2284.6417804615157,4850.294499919798
4441,676.8084,18.047,133.3254,142.0,86.063,,,,2.1172,,,-67.063,,,2286.136025093493,4840.207192327944
4442,676.9608,18.078,133.0444,141.0,83.813,,,,2.1113,,,-61.906,,,2290.9645201150893,4836.913391318988
4443,677.1132,18.188,133.3461,142.0,85.813,,,,2.1016,,,-62.781,,,2285.7811364561844,4803.797636376317
4444,677.2656,18.281,133.0962,141.37,85.813,,,,2.1094,,,-62.656,,,2290.0728946431227,4830.679763960203
4445,677.418,18.422,133.344,141.37,87.375,,,,2.1152,,,-62.5,,,2285.8171346292297,4834.960403167747
4446,677.5704,18.391,134.2999,142.5,90.125,,,,2.1152,,,-65.375,,,2269.547482909518,4800.546835850212
4447,677.7228,18.313,135.4871,143.5,90.063,,,,2.0977,,,-62.0,,,2249.660668801679,4719.113184945282
4448,677.8752,18.313,136.8556,145.12,90.375,,,,2.0918,,,-62.125,,,2227.164982653249,4658.783710714067
4449,678.0276,18.359,137.9435,146.12,86.063,,,,2.1016,,,-62.125,,,2209.6003073722213,4643.69600597346
4450,678.18,18.391,138.8454,147.12,85.563,,,,2.1211,,,-62.125,,,2195.2473758583287,4656.339208933102
4451,678.3324,18.391,139.5178,147.75,86.438,,,,2.127,,,-62.781,,,2184.6674761213267,4646.787721710061
4452,678.4848,18.375,140.4599,148.37,85.813,,,,2.123,,,-62.156,,,2170.0143599703542,4606.940486217062
4453,678.6372,18.297,141.9242,150.12,85.063,,,,2.1016,,,-62.281,,,2147.6252816644374,4513.449291945982
4454,678.7896,18.297,143.6619,151.37,85.563,,,,2.0918,,,-62.281,,,2121.6481196475893,4438.063536678827
4455,678.942,18.266,145.919,154.12,87.875,,,,2.0781,,,-61.656,,,2088.830104372974,4340.797839897477
4456,679.0944,18.25,147.4079,155.75,96.0,,,,2.0723,,,-61.031,,,2067.731783710371,4284.960575383001
4457,679.2468,18.266,148.1931,156.37,95.625,,,,2.0703,,,-60.531,,,2056.775922765635,4258.143192901694
4458,679.3992,18.328,149.1011,157.12,96.625,,,,2.0801,,,-60.156,,,2044.2505119009852,4252.245489805239
4459,679.5516,18.469,150.7123,158.5,97.125,,,,2.0898,,,-61.531,,,2022.3963140367441,4226.403817073988
4460,679.704,18.516,152.8804,161.0,99.063,,,,2.0918,,,-61.281,,,1993.7153487301184,4170.453766473662
4461,679.8564,18.563,155.1497,162.75,96.688,,,,2.0898,,,-61.656,,,1964.554233749727,4105.525437690179
4462,680.0088,18.578,157.785,166.12,88.063,,,,2.0938,,,-61.438,,,1931.7425610799505,4044.6825743892
4463,680.1612,18.656,159.2755,167.5,84.938,,,,2.1094,,,-62.188,,,1913.6653157579165,4036.685617059749
